epoch,train_mse,train_mae,val_mse,val_mae
1,3.567881e+02,1.076248e+01,3.027444e+02,9.677394e+00
2,3.077784e+02,9.342595e+00,2.968701e+02,9.230231e+00
3,3.051367e+02,9.302703e+00,2.864157e+02,9.017080e+00
4,3.000655e+02,9.262926e+00,2.897422e+02,8.898776e+00
5,2.951842e+02,9.212260e+00,2.911113e+02,9.014174e+00
6,2.929088e+02,9.216417e+00,2.742122e+02,8.825993e+00
7,2.821277e+02,9.104506e+00,2.779783e+02,9.022553e+00
8,2.831032e+02,9.117827e+00,2.688480e+02,8.640262e+00
9,2.825034e+02,9.161821e+00,2.661083e+02,8.709661e+00
10,2.795549e+02,9.098337e+00,2.696169e+02,8.735680e+00
